Hotel_Address,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Positive_Review,Review_Total_Positive_Word_Counts,Reviewer_Score,Tags,lat,lng
6 Main Street Venice Italy,2025-01-28,7.3,Hotel Danieli,Italy,"Reception was rude when we asked for a late checkout. Walls are paper thin, we heard every word from the neighbours.",21,No Positive,0,8.9,"[ 'Business trip', 'Couple', 'Stayed 7 nights', 'Superior Double Room', 'Submitted on desktop' ]",45.4363,12.30996
6 Main Street Venice Italy,2025-05-12,7.3,Hotel Danieli,Israel,"Breakfast was chaotic, tables never cleaned, food ran out early. Hidden city tax and parking fees appeared at checkout. The bathroom smelled of mould and the drain was clogged.",29,Kids loved the pool and the staff treated them wonderfully. Would definitely stay here again on our next trip.,19,6.1,"[ 'Leisure trip', 'Solo traveler', 'Stayed 5 nights', 'Deluxe Room', 'Submitted on desktop' ]",45.4363,12.30996
6 Main Street Venice Italy,2025-09-04,7.3,Hotel Danieli,Israel,No Negative,0,Wonderful boutique feel and spotlessly clean throughout our stay. The spa and sauna were a lovely surprise after a long flight.,21,9.6,"[ 'Business trip', 'Couple', 'Stayed 4 nights', 'Double or Twin Room', 'Submitted on desktop' ]",45.4363,12.30996
6 Main Street Venice Italy,2025-11-28,7.3,Hotel Danieli,France,No Negative,0,The spa and sauna were a lovely surprise after a long flight.,12,8.8,"[ 'Business trip', 'Group', 'Stayed 4 nights', 'Deluxe Room', 'Submitted on desktop' ]",45.4363,12.30996
6 Main Street Venice Italy,2025-05-13,7.3,Hotel Danieli,Japan,No Negative,0,"It is a standard chain hotel, nothing more nothing less.",10,8.7,"[ 'Leisure trip', 'Solo traveler', 'Stayed 4 nights', 'Deluxe Room', 'Submitted on desktop' ]",45.4363,12.30996
6 Main Street Venice Italy,2025-12-06,7.3,Hotel Danieli,Australia,"The elevator was out of service and we were on the 6th floor. Walls are paper thin, we heard every word from the neighbours. Coffee at breakfast was undrinkable and the queue was long.",34,The view from the 8th floor over the river was unforgettable.,11,3.7,"[ 'Leisure trip', 'Group', 'Stayed 4 nights', 'Suite', 'Submitted on desktop' ]",45.4363,12.30996
6 Main Street Venice Italy,2025-11-19,7.3,Hotel Danieli,Japan,No Negative,0,"Perfect base for sightseeing, every landmark within walking distance. Check in was fast and the receptionist upgraded us for free.",20,8.6,"[ 'Leisure trip', 'Couple', 'Stayed 2 nights', 'Superior Double Room', 'Submitted on desktop' ]",45.4363,12.30996
6 Main Street Venice Italy,2025-09-08,7.3,Hotel Danieli,Brazil,WiFi kept dropping and the staff could not fix it. The heating could not be turned off and the room was 28 degrees.,23,No Positive,0,6.1,"[ 'Leisure trip', 'Solo traveler', 'Stayed 5 nights', 'Suite', 'Submitted on desktop' ]",45.4363,12.30996
6 Main Street Venice Italy,2025-03-24,7.3,Hotel Danieli,Israel,"Hidden city tax and parking fees appeared at checkout. The minibar is absurdly priced, four euros for water.",18,Check in was fast and the receptionist upgraded us for free.,11,4.3,"[ 'Leisure trip', 'Solo traveler', 'Stayed 7 nights', 'Standard Double Room', 'Submitted from a mobile device' ]",45.4363,12.30996
6 Main Street Venice Italy,2025-09-03,7.3,Hotel Danieli,Belgium,No Negative,0,"It is a standard chain hotel, nothing more nothing less.",10,9.2,"[ 'Leisure trip', 'Couple', 'Stayed 4 nights', 'Standard Double Room', 'Submitted on desktop' ]",45.4363,12.30996
6 Main Street Venice Italy,2025-07-13,7.3,Hotel Danieli,Spain,"The pool photos are misleading, it is tiny and cold. Our booking for a double bed became two singles pushed together. The room was much smaller than the photos suggested.",30,No Positive,0,3.8,"[ 'Leisure trip', 'Couple', 'Stayed 5 nights', 'Suite', 'Submitted on desktop' ]",45.4363,12.30996
6 Main Street Venice Italy,2025-05-14,7.3,Hotel Danieli,United Kingdom,No Negative,0,"Perfect base for sightseeing, every landmark within walking distance.",9,9.8,"[ 'Business trip', 'Couple', 'Stayed 4 nights', 'Suite', 'Submitted on desktop' ]",45.4363,12.30996
6 Main Street Venice Italy,2025-07-05,7.3,Hotel Danieli,Belgium,Hidden city tax and parking fees appeared at checkout.,9,No Positive,0,4.2,"[ 'Leisure trip', 'Couple', 'Stayed 4 nights', 'Standard Double Room', 'Submitted on desktop' ]",45.4363,12.30996
6 Main Street Venice Italy,2025-02-16,7.3,Hotel Danieli,Netherlands,No Negative,0,The concierge booked us a restaurant we could never have found. Check in was fast and the receptionist upgraded us for free.,22,10.0,"[ 'Leisure trip', 'Couple', 'Stayed 2 nights', 'Superior Double Room', 'Submitted on desktop' ]",45.4363,12.30996
9 Main Street London United Kingdom,2025-08-22,6.4,Park Plaza Westminster,United Kingdom,No Negative,0,Fine for a one night stopover.,6,9.4,"[ 'Business trip', 'Solo traveler', 'Stayed 2 nights', 'Standard Double Room', 'Submitted from a mobile device' ]",51.51213,-0.12427
9 Main Street London United Kingdom,2025-10-22,6.4,Park Plaza Westminster,Turkey,"The elevator was out of service and we were on the 6th floor. Breakfast was chaotic, tables never cleaned, food ran out early.",23,The rooftop bar has an amazing view over the city skyline.,11,4.5,"[ 'Leisure trip', 'Couple', 'Stayed 3 nights', 'Suite', 'Submitted on desktop' ]",51.51213,-0.12427
9 Main Street London United Kingdom,2025-11-11,6.4,Park Plaza Westminster,Italy,The heating could not be turned off and the room was 28 degrees.,13,The spa and sauna were a lovely surprise after a long flight.,12,8.7,"[ 'Leisure trip', 'Solo traveler', 'Stayed 4 nights', 'Deluxe Room', 'Submitted on desktop' ]",51.51213,-0.12427
9 Main Street London United Kingdom,2025-04-27,6.4,Park Plaza Westminster,Israel,"The safe in our room was broken and never repaired. The pool photos are misleading, it is tiny and cold. Disappointing for a hotel with this rating.",27,Check in was fast and the receptionist upgraded us for free.,11,6.0,"[ 'Business trip', 'Solo traveler', 'Stayed 2 nights', 'Standard Double Room', 'Submitted on desktop' ]",51.51213,-0.12427
9 Main Street London United Kingdom,2025-10-23,6.4,Park Plaza Westminster,United Kingdom,Our room was not ready at 4pm and we waited an hour in the lobby. The air conditioning was broken for our entire stay. The elevator was out of service and we were on the 6th floor.,37,No Positive,0,4.3,"[ 'Business trip', 'Solo traveler', 'Stayed 7 nights', 'Deluxe Room', 'Submitted on desktop' ]",51.51213,-0.12427
9 Main Street London United Kingdom,2025-04-13,6.4,Park Plaza Westminster,Ireland,"The minibar is absurdly priced, four euros for water. Reception was rude when we asked for a late checkout. Housekeeping knocked at 8am despite the do not disturb sign.",29,Room service arrived hot and faster than promised. Worth every euro.,11,4.8,"[ 'Leisure trip', 'Solo traveler', 'Stayed 3 nights', 'Standard Double Room', 'Submitted from a mobile device' ]",51.51213,-0.12427
9 Main Street London United Kingdom,2025-06-04,6.4,Park Plaza Westminster,France,Our room was not ready at 4pm and we waited an hour in the lobby.,15,No Positive,0,4.4,"[ 'Leisure trip', 'Solo traveler', 'Stayed 2 nights', 'Standard Double Room', 'Submitted from a mobile device' ]",51.51213,-0.12427
9 Main Street London United Kingdom,2025-12-18,6.4,Park Plaza Westminster,United States of America,WiFi kept dropping and the staff could not fix it. Our booking for a double bed became two singles pushed together. Not worth the price we paid.,27,No Positive,0,8.3,"[ 'Leisure trip', 'Solo traveler', 'Stayed 4 nights', 'Standard Double Room', 'Submitted from a mobile device' ]",51.51213,-0.12427
9 Main Street London United Kingdom,2025-08-04,6.4,Park Plaza Westminster,Spain,Noise from the street kept us awake until 3am. WiFi kept dropping and the staff could not fix it.,19,The staff went above and beyond when our train was delayed.,11,6.3,"[ 'Leisure trip', 'Group', 'Stayed 1 night', 'Suite', 'Submitted on desktop' ]",51.51213,-0.12427
9 Main Street London United Kingdom,2025-07-15,6.4,Park Plaza Westminster,France,"Noise from the street kept us awake until 3am. Breakfast was chaotic, tables never cleaned, food ran out early. Our room was not ready at 4pm and we waited an hour in the lobby.",34,The spa and sauna were a lovely surprise after a long flight. Worth every euro.,15,4.0,"[ 'Leisure trip', 'Family with young children', 'Stayed 2 nights', 'Superior Double Room', 'Submitted on desktop' ]",51.51213,-0.12427
9 Main Street London United Kingdom,2025-08-23,6.4,Park Plaza Westminster,Germany,No Negative,0,Loved the design of the lobby and the rooms feel brand new.,12,9.6,"[ 'Leisure trip', 'Solo traveler', 'Stayed 7 nights', 'Superior Double Room', 'Submitted on desktop' ]",51.51213,-0.12427
9 Main Street London United Kingdom,2025-09-08,6.4,Park Plaza Westminster,Switzerland,"Walls are paper thin, we heard every word from the neighbours.",11,The staff went above and beyond when our train was delayed.,11,6.3,"[ 'Leisure trip', 'Solo traveler', 'Stayed 1 night', 'Deluxe Room', 'Submitted on desktop' ]",51.51213,-0.12427
9 Main Street London United Kingdom,2025-09-18,6.4,Park Plaza Westminster,France,The mattress was sagging and clearly needed replacement. Hidden city tax and parking fees appeared at checkout. We would not return.,21,No Positive,0,9.0,"[ 'Leisure trip', 'Family with older children', 'Stayed 5 nights', 'Double or Twin Room', 'Submitted on desktop' ]",51.51213,-0.12427
9 Main Street London United Kingdom,2025-11-15,6.4,Park Plaza Westminster,Romania,Housekeeping knocked at 8am despite the do not disturb sign. Our booking for a double bed became two singles pushed together. The air conditioning was broken for our entire stay.,30,No Positive,0,4.1,"[ 'Leisure trip', 'Solo traveler', 'Stayed 2 nights', 'Standard Double Room', 'Submitted on desktop' ]",51.51213,-0.12427
12 Main Street Paris France,2025-07-27,7.1,Le Marais Boutique Hotel,United States of America,The air conditioning was broken for our entire stay. The mattress was sagging and clearly needed replacement. Not worth the price we paid.,23,No Positive,0,6.0,"[ 'Leisure trip', 'Couple', 'Stayed 7 nights', 'Suite', 'Submitted on desktop' ]",48.86444,2.34394
12 Main Street Paris France,2025-06-20,7.1,Le Marais Boutique Hotel,France,"Walls are paper thin, we heard every word from the neighbours.",11,The rooftop bar has an amazing view over the city skyline. Highly recommended for couples on a city break.,19,6.0,"[ 'Leisure trip', 'Couple', 'Stayed 7 nights', 'Suite', 'Submitted on desktop' ]",48.86444,2.34394
12 Main Street Paris France,2025-01-18,7.1,Le Marais Boutique Hotel,Italy,The heating could not be turned off and the room was 28 degrees.,13,No Positive,0,8.8,"[ 'Business trip', 'Solo traveler', 'Stayed 7 nights', 'Standard Double Room', 'Submitted on desktop' ]",48.86444,2.34394
12 Main Street Paris France,2025-08-16,7.1,Le Marais Boutique Hotel,Japan,No Negative,0,The rooftop bar has an amazing view over the city skyline. Beautiful historic building with modern renovated bathrooms.,18,8.9,"[ 'Leisure trip', 'Family with older children', 'Stayed 4 nights', 'Standard Double Room', 'Submitted on desktop' ]",48.86444,2.34394
12 Main Street Paris France,2025-01-10,7.1,Le Marais Boutique Hotel,Spain,Reception was rude when we asked for a late checkout.,10,"Fast wifi, good desk, worked perfectly for my remote work mornings.",11,5.1,"[ 'Leisure trip', 'Group', 'Stayed 7 nights', 'Superior Double Room', 'Submitted on desktop' ]",48.86444,2.34394
12 Main Street Paris France,2025-07-02,7.1,Le Marais Boutique Hotel,Poland,WiFi kept dropping and the staff could not fix it. Our booking for a double bed became two singles pushed together.,21,"Perfect base for sightseeing, every landmark within walking distance.",9,7.8,"[ 'Leisure trip', 'Solo traveler', 'Stayed 4 nights', 'Double or Twin Room', 'Submitted on desktop' ]",48.86444,2.34394
12 Main Street Paris France,2025-03-14,7.1,Le Marais Boutique Hotel,Israel,Our booking for a double bed became two singles pushed together.,11,No Positive,0,4.4,"[ 'Leisure trip', 'Solo traveler', 'Stayed 3 nights', 'Suite', 'Submitted on desktop' ]",48.86444,2.34394
12 Main Street Paris France,2025-08-28,7.1,Le Marais Boutique Hotel,United Kingdom,No Negative,0,Loved the design of the lobby and the rooms feel brand new. Check in was fast and the receptionist upgraded us for free.,23,9.4,"[ 'Leisure trip', 'Solo traveler', 'Stayed 4 nights', 'Superior Double Room', 'Submitted on desktop' ]",48.86444,2.34394
12 Main Street Paris France,2025-01-10,7.1,Le Marais Boutique Hotel,Switzerland,No Negative,0,Beautiful historic building with modern renovated bathrooms.,7,9.5,"[ 'Business trip', 'Family with young children', 'Stayed 2 nights', 'Double or Twin Room', 'Submitted on desktop' ]",48.86444,2.34394
12 Main Street Paris France,2025-04-16,7.1,Le Marais Boutique Hotel,Poland,The heating could not be turned off and the room was 28 degrees.,13,No Positive,0,4.9,"[ 'Leisure trip', 'Solo traveler', 'Stayed 3 nights', 'Suite', 'Submitted from a mobile device' ]",48.86444,2.34394
12 Main Street Paris France,2025-10-10,7.1,Le Marais Boutique Hotel,Canada,"Walls are paper thin, we heard every word from the neighbours. Our room was not ready at 4pm and we waited an hour in the lobby. The pool photos are misleading, it is tiny and cold.",36,The bed was extremely comfortable and the shower pressure great.,10,3.6,"[ 'Leisure trip', 'Couple', 'Stayed 5 nights', 'Standard Double Room', 'Submitted on desktop' ]",48.86444,2.34394
12 Main Street Paris France,2025-11-13,7.1,Le Marais Boutique Hotel,Netherlands,"Walls are paper thin, we heard every word from the neighbours.",11,"The view from the 8th floor over the river was unforgettable. The metro station is literally around the corner, so convenient.",21,8.7,"[ 'Leisure trip', 'Group', 'Stayed 7 nights', 'Superior Double Room', 'Submitted on desktop' ]",48.86444,2.34394
12 Main Street Paris France,2025-11-21,7.1,Le Marais Boutique Hotel,Netherlands,No Negative,0,The concierge booked us a restaurant we could never have found.,11,8.4,"[ 'Leisure trip', 'Couple', 'Stayed 7 nights', 'Deluxe Room', 'Submitted from a mobile device' ]",48.86444,2.34394
12 Main Street Paris France,2025-06-17,7.1,Le Marais Boutique Hotel,Brazil,"Walls are paper thin, we heard every word from the neighbours. The mattress was sagging and clearly needed replacement.",19,"The metro station is literally around the corner, so convenient.",10,8.4,"[ 'Leisure trip', 'Family with young children', 'Stayed 2 nights', 'Deluxe Room', 'Submitted on desktop' ]",48.86444,2.34394
15 Main Street Barcelona Spain,2025-07-01,7.0,Barcelo Raval,Brazil,No Negative,0,Fine for a one night stopover.,6,9.0,"[ 'Leisure trip', 'Solo traveler', 'Stayed 7 nights', 'Superior Double Room', 'Submitted on desktop' ]",41.38584,2.1592
15 Main Street Barcelona Spain,2025-10-08,7.0,Barcelo Raval,Netherlands,"Breakfast was chaotic, tables never cleaned, food ran out early. WiFi kept dropping and the staff could not fix it. Noise from the street kept us awake until 3am.",29,Loved the design of the lobby and the rooms feel brand new.,12,4.2,"[ 'Leisure trip', 'Solo traveler', 'Stayed 1 night', 'Superior Double Room', 'Submitted on desktop' ]",41.38584,2.1592
15 Main Street Barcelona Spain,2025-06-22,7.0,Barcelo Raval,Turkey,"Breakfast was chaotic, tables never cleaned, food ran out early. Our booking for a double bed became two singles pushed together. Housekeeping knocked at 8am despite the do not disturb sign.",31,Our room was quiet even though the hotel is in the very centre.,13,4.1,"[ 'Leisure trip', 'Group', 'Stayed 4 nights', 'Deluxe Room', 'Submitted on desktop' ]",41.38584,2.1592
15 Main Street Barcelona Spain,2025-11-12,7.0,Barcelo Raval,United Kingdom,No Negative,0,"Perfect base for sightseeing, every landmark within walking distance. The bed was extremely comfortable and the shower pressure great. Would definitely stay here again on our next trip.",28,10.0,"[ 'Leisure trip', 'Solo traveler', 'Stayed 7 nights', 'Superior Double Room', 'Submitted on desktop' ]",41.38584,2.1592
15 Main Street Barcelona Spain,2025-06-08,7.0,Barcelo Raval,Netherlands,Construction next door started drilling at seven in the morning. We would not return.,14,No Positive,0,5.9,"[ 'Business trip', 'Couple', 'Stayed 2 nights', 'Suite', 'Submitted from a mobile device' ]",41.38584,2.1592
15 Main Street Barcelona Spain,2025-09-09,7.0,Barcelo Raval,Belgium,The room was much smaller than the photos suggested. WiFi kept dropping and the staff could not fix it. Coffee at breakfast was undrinkable and the queue was long.,29,No Positive,0,5.2,"[ 'Leisure trip', 'Couple', 'Stayed 2 nights', 'Standard Double Room', 'Submitted from a mobile device' ]",41.38584,2.1592
15 Main Street Barcelona Spain,2025-12-03,7.0,Barcelo Raval,Romania,No Negative,0,Breakfast had a huge spread with fresh pastries and good coffee.,11,8.7,"[ 'Leisure trip', 'Family with older children', 'Stayed 4 nights', 'Double or Twin Room', 'Submitted from a mobile device' ]",41.38584,2.1592
15 Main Street Barcelona Spain,2025-07-22,7.0,Barcelo Raval,Japan,The air conditioning was broken for our entire stay.,9,The staff went above and beyond when our train was delayed. Housekeeping kept everything immaculate every single day.,18,9.5,"[ 'Leisure trip', 'Couple', 'Stayed 5 nights', 'Suite', 'Submitted from a mobile device' ]",41.38584,2.1592
15 Main Street Barcelona Spain,2025-02-26,7.0,Barcelo Raval,Israel,The heating could not be turned off and the room was 28 degrees. The elevator was out of service and we were on the 6th floor.,26,No Positive,0,5.6,"[ 'Leisure trip', 'Couple', 'Stayed 7 nights', 'Double or Twin Room', 'Submitted on desktop' ]",41.38584,2.1592
15 Main Street Barcelona Spain,2025-06-05,7.0,Barcelo Raval,Brazil,The air conditioning was broken for our entire stay.,9,The staff went above and beyond when our train was delayed.,11,6.1,"[ 'Leisure trip', 'Family with young children', 'Stayed 5 nights', 'Double or Twin Room', 'Submitted on desktop' ]",41.38584,2.1592
15 Main Street Barcelona Spain,2025-11-04,7.0,Barcelo Raval,Turkey,"Reception was rude when we asked for a late checkout. Breakfast was chaotic, tables never cleaned, food ran out early.",20,Wonderful boutique feel and spotlessly clean throughout our stay. Loved the design of the lobby and the rooms feel brand new.,21,8.3,"[ 'Leisure trip', 'Group', 'Stayed 1 night', 'Standard Double Room', 'Submitted on desktop' ]",41.38584,2.1592
15 Main Street Barcelona Spain,2025-05-19,7.0,Barcelo Raval,Netherlands,Hidden city tax and parking fees appeared at checkout. Management really needs to address this.,15,The view from the 8th floor over the river was unforgettable.,11,9.2,"[ 'Leisure trip', 'Couple', 'Stayed 3 nights', 'Double or Twin Room', 'Submitted from a mobile device' ]",41.38584,2.1592
15 Main Street Barcelona Spain,2025-07-03,7.0,Barcelo Raval,United States of America,The mattress was sagging and clearly needed replacement. Management really needs to address this.,14,Beautiful historic building with modern renovated bathrooms. The rooftop bar has an amazing view over the city skyline. Easily the best hotel of our two week trip.,27,9.6,"[ 'Leisure trip', 'Couple', 'Stayed 2 nights', 'Superior Double Room', 'Submitted on desktop' ]",41.38584,2.1592
15 Main Street Barcelona Spain,2025-05-15,7.0,Barcelo Raval,United States of America,"Our room was not ready at 4pm and we waited an hour in the lobby. The minibar is absurdly priced, four euros for water. Breakfast was chaotic, tables never cleaned, food ran out early. Not worth the price we paid.",40,"Fast wifi, good desk, worked perfectly for my remote work mornings.",11,4.1,"[ 'Leisure trip', 'Family with older children', 'Stayed 1 night', 'Superior Double Room', 'Submitted on desktop' ]",41.38584,2.1592
15 Main Street Barcelona Spain,2025-05-07,7.0,Barcelo Raval,Poland,Housekeeping knocked at 8am despite the do not disturb sign. The bathroom smelled of mould and the drain was clogged.,20,Housekeeping kept everything immaculate every single day. Easily the best hotel of our two week trip.,16,5.6,"[ 'Leisure trip', 'Solo traveler', 'Stayed 4 nights', 'Double or Twin Room', 'Submitted on desktop' ]",41.38584,2.1592
15 Main Street Barcelona Spain,2025-06-19,7.0,Barcelo Raval,Switzerland,The mattress was sagging and clearly needed replacement. The bathroom smelled of mould and the drain was clogged.,18,Loved the design of the lobby and the rooms feel brand new. Would definitely stay here again on our next trip.,21,8.7,"[ 'Leisure trip', 'Solo traveler', 'Stayed 4 nights', 'Double or Twin Room', 'Submitted from a mobile device' ]",41.38584,2.1592
15 Main Street Barcelona Spain,2025-07-28,7.0,Barcelo Raval,Netherlands,No Negative,0,Great value for money compared with other options in this city.,11,8.5,"[ 'Business trip', 'Couple', 'Stayed 3 nights', 'Superior Double Room', 'Submitted from a mobile device' ]",41.38584,2.1592
15 Main Street Barcelona Spain,2025-03-20,7.0,Barcelo Raval,Australia,No Negative,0,"The metro station is literally around the corner, so convenient. Fast wifi, good desk, worked perfectly for my remote work mornings.",21,10.0,"[ 'Leisure trip', 'Couple', 'Stayed 7 nights', 'Standard Double Room', 'Submitted from a mobile device' ]",41.38584,2.1592
15 Main Street Barcelona Spain,2025-11-10,7.0,Barcelo Raval,Japan,"The minibar is absurdly priced, four euros for water. The air conditioning was broken for our entire stay. Disappointing for a hotel with this rating.",25,No Positive,0,3.4,"[ 'Leisure trip', 'Family with older children', 'Stayed 1 night', 'Double or Twin Room', 'Submitted on desktop' ]",41.38584,2.1592
15 Main Street Barcelona Spain,2025-10-18,7.0,Barcelo Raval,Australia,The safe in our room was broken and never repaired. Our room was not ready at 4pm and we waited an hour in the lobby. Disappointing for a hotel with this rating.,32,No Positive,0,4.7,"[ 'Leisure trip', 'Solo traveler', 'Stayed 1 night', 'Standard Double Room', 'Submitted on desktop' ]",41.38584,2.1592
18 Main Street Vienna Austria,2025-03-02,7.5,Hotel Sacher Wien,Switzerland,"The pool photos are misleading, it is tiny and cold.",10,The concierge booked us a restaurant we could never have found. We will be back for sure.,17,8.5,"[ 'Leisure trip', 'Couple', 'Stayed 1 night', 'Standard Double Room', 'Submitted from a mobile device' ]",48.20257,16.37391
18 Main Street Vienna Austria,2025-12-28,7.5,Hotel Sacher Wien,Australia,The air conditioning was broken for our entire stay. The safe in our room was broken and never repaired.,19,No Positive,0,5.9,"[ 'Leisure trip', 'Couple', 'Stayed 2 nights', 'Suite', 'Submitted on desktop' ]",48.20257,16.37391
